F:\Data\IMG\center_2019_08_01_16_59_49_881.jpg, F:\Data\IMG\left_2019_08_01_16_59_49_881.jpg, F:\Data\IMG\right_2019_08_01_16_59_49_881.jpg, 0, 0, 0, 7.816235E-05
F:\Data\IMG\center_2019_08_01_16_59_49_981.jpg, F:\Data\IMG\left_2019_08_01_16_59_49_981.jpg, F:\Data\IMG\right_2019_08_01_16_59_49_981.jpg, 0, 0, 0, 7.818065E-05
F:\Data\IMG\center_2019_08_01_16_59_50_081.jpg, F:\Data\IMG\left_2019_08_01_16_59_50_081.jpg, F:\Data\IMG\right_2019_08_01_16_59_50_081.jpg, 0, 0, 0, 7.939379E-05
F:\Data\IMG\center_2019_08_01_16_59_50_182.jpg, F:\Data\IMG\left_2019_08_01_16_59_50_182.jpg, F:\Data\IMG\right_2019_08_01_16_59_50_182.jpg, 0, 0, 0, 7.855935E-05
F:\Data\IMG\center_2019_08_01_16_59_50_284.jpg, F:\Data\IMG\left_2019_08_01_16_59_50_284.jpg, F:\Data\IMG\right_2019_08_01_16_59_50_284.jpg, 0, 0.2916276, 0, 0.2315316
F:\Data\IMG\center_2019_08_01_16_59_50_384.jpg, F:\Data\IMG\left_2019_08_01_16_59_50_384.jpg, F:\Data\IMG\right_2019_08_01_16_59_50_384.jpg, 0, 0.5826645, 0, 0.7780983
F:\Data\IMG\center_2019_08_01_16_59_50_487.jpg, F:\Data\IMG\left_2019_08_01_16_59_50_487.jpg, F:\Data\IMG\right_2019_08_01_16_59_50_487.jpg, 0, 0.8917578, 0, 1.720197
F:\Data\IMG\center_2019_08_01_16_59_50_588.jpg, F:\Data\IMG\left_2019_08_01_16_59_50_588.jpg, F:\Data\IMG\right_2019_08_01_16_59_50_588.jpg, 0, 1, 0, 2.862673
F:\Data\IMG\center_2019_08_01_16_59_50_692.jpg, F:\Data\IMG\left_2019_08_01_16_59_50_692.jpg, F:\Data\IMG\right_2019_08_01_16_59_50_692.jpg, 0, 1, 0, 4.04407
F:\Data\IMG\center_2019_08_01_16_59_50_794.jpg, F:\Data\IMG\left_2019_08_01_16_59_50_794.jpg, F:\Data\IMG\right_2019_08_01_16_59_50_794.jpg, 0, 1, 0, 5.209544
